CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,CustomerAgeCluster
711402333,Existing Customer,47,Male,Doctorate,Single,Less than $40K,Blue,37,1,3,3235,Fourties
708296883,Existing Customer,44,Female,Graduate,Single,$40K - $60K,Blue,38,1,0,11749,Fourties
719154483,Existing Customer,53,Male,High School,Divorced,$60K - $80K,Blue,36,3,2,7753,Fifties
717721458,Existing Customer,45,Male,College,Divorced,$60K - $80K,Blue,40,1,0,10408,Fourties
711112683,Existing Customer,63,Female,College,Married,Unknown,Blue,36,2,3,3967,Sixties
715674483,Existing Customer,39,Female,Post-Graduate,Single,Less than $40K,Blue,27,2,2,6205,Thirties
789322833,Attrited Customer,48,Female,High School,Married,Less than $40K,Blue,38,3,3,8025,Fourties
789968058,Existing Customer,51,Male,Unknown,Single,$120K +,Blue,42,2,3,9036,Fifties
709919283,Existing Customer,54,Male,Graduate,Married,$80K - $120K,Blue,34,3,2,14926,Fifties
718744008,Existing Customer,59,Female,Graduate,Single,Less than $40K,Blue,36,2,3,6335,Fifties
767712558,Attrited Customer,59,Male,College,Single,$60K - $80K,Blue,53,3,3,14979,Fifties
712950783,Attrited Customer,48,Female,Uneducated,Married,Less than $40K,Blue,38,2,3,2732,Fourties
716104983,Existing Customer,41,Female,Graduate,Single,Less than $40K,Blue,32,3,2,2250,Fourties
818839983,Existing Customer,55,Male,Graduate,Married,$120K +,Blue,50,2,0,10916,Fifties
772288758,Existing Customer,47,Female,Graduate,Married,Unknown,Blue,36,1,3,5349,Fourties
712350858,Existing Customer,41,Male,High School,Married,$80K - $120K,Blue,24,1,3,9366,Fourties
711009708,Existing Customer,40,Male,High School,Single,$80K - $120K,Blue,28,1,0,21617,Fourties
712720158,Existing Customer,68,Male,Graduate,Married,Unknown,Blue,56,2,3,13860,Sixties
712215258,Existing Customer,50,Female,Graduate,Single,$40K - $60K,Silver,31,2,3,18386,Fifties
773827008,Existing Customer,47,Male,Uneducated,Single,$60K - $80K,Blue,41,2,2,2405,Fourties
795232683,Existing Customer,53,Female,College,Married,Less than $40K,Blue,47,2,3,2154,Fifties
713786508,Existing Customer,42,Female,Unknown,Married,$40K - $60K,Blue,36,3,3,2038,Fourties
713539833,Existing Customer,48,Female,High School,Single,$40K - $60K,Blue,38,1,3,8135,Fourties
712454058,Existing Customer,49,Male,Doctorate,Married,$120K +,Blue,38,1,3,9364,Fourties
718759833,Existing Customer,44,Female,Uneducated,Married,Unknown,Silver,35,3,2,32643,Fourties
718803333,Existing Customer,43,Female,Graduate,Divorced,Less than $40K,Blue,34,3,1,3195,Fourties
720253908,Existing Customer,56,Male,High School,Married,$80K - $120K,Blue,43,2,1,2852,Fifties
714133158,Existing Customer,59,Female,College,Single,Unknown,Blue,36,3,3,4224,Fifties
713187033,Existing Customer,46,Male,Uneducated,Married,$60K - $80K,Blue,36,2,2,20459,Fourties
714791208,Existing Customer,47,Female,Unknown,Divorced,Less than $40K,Blue,41,5,3,3482,Fourties
772426383,Existing Customer,50,Female,Uneducated,Married,$40K - $60K,Blue,40,2,3,3065,Fifties
710975883,Existing Customer,51,Female,Uneducated,Married,Less than $40K,Blue,43,1,2,2185,Fifties
714264408,Existing Customer,47,Female,Uneducated,Married,Less than $40K,Blue,36,1,0,1611,Fourties
715827858,Existing Customer,58,Female,Uneducated,Married,Less than $40K,Blue,47,3,3,2822,Fifties
713741358,Attrited Customer,46,Male,Graduate,Single,$80K - $120K,Blue,33,3,3,32975,Fourties
709531908,Existing Customer,53,Male,High School,Married,$60K - $80K,Blue,47,2,2,1438.3,Fifties
716493408,Existing Customer,45,Female,Uneducated,Divorced,Unknown,Blue,36,3,3,15875,Fourties
714141108,Existing Customer,52,Female,High School,Married,Less than $40K,Blue,45,3,3,6703,Fifties
708953883,Attrited Customer,53,Male,Unknown,Married,$80K - $120K,Blue,36,2,1,3212,Fifties
712608783,Existing Customer,50,Male,High School,Married,$80K - $120K,Silver,45,1,3,34516,Fifties
820353558,Existing Customer,41,Female,High School,Married,$40K - $60K,Blue,36,1,2,9797,Fourties
714964758,Existing Customer,45,Female,Graduate,Divorced,$40K - $60K,Blue,36,2,2,10400,Fourties
716264358,Existing Customer,53,Male,Uneducated,Married,$80K - $120K,Blue,42,1,2,26792,Fifties
717296808,Existing Customer,67,Female,Graduate,Married,Less than $40K,Blue,56,3,2,3006,Sixties
712977183,Existing Customer,57,Female,Uneducated,Single,$40K - $60K,Silver,36,3,0,19482,Fifties
710829108,Existing Customer,59,Female,Uneducated,Married,$40K - $60K,Blue,36,2,3,3356,Fifties
779562633,Existing Customer,45,Male,Uneducated,Married,$40K - $60K,Blue,34,2,1,5771,Fourties
715315833,Existing Customer,51,Male,Graduate,Married,$80K - $120K,Blue,36,2,3,11106,Fifties
815500983,Existing Customer,59,Female,Uneducated,Married,Less than $40K,Blue,54,3,0,2890,Fifties
719360583,Existing Customer,53,Male,Graduate,Married,$60K - $80K,Blue,45,2,2,3380,Fifties
709701558,Existing Customer,47,Male,Graduate,Married,$60K - $80K,Blue,36,1,2,21331,Fourties
721148358,Existing Customer,49,Female,Uneducated,Single,Unknown,Blue,38,2,1,12860,Fourties
779862408,Existing Customer,49,Male,Post-Graduate,Single,$80K - $120K,Blue,33,1,0,6278,Fourties
812627208,Existing Customer,60,Female,College,Single,Less than $40K,Blue,55,1,3,1438.3,Sixties
711033408,Existing Customer,50,Female,High School,Married,Less than $40K,Blue,36,1,2,9355,Fifties
779956608,Existing Customer,41,Female,Post-Graduate,Married,Unknown,Blue,31,1,3,20758,Fourties
780376683,Existing Customer,57,Male,Graduate,Married,$80K - $120K,Blue,47,3,1,14612,Fifties
717912483,Existing Customer,43,Male,Graduate,Unknown,$80K - $120K,Blue,27,2,0,27259,Fourties
714454758,Existing Customer,57,Female,Graduate,Married,Less than $40K,Blue,47,2,3,6347,Fifties
780466533,Existing Customer,54,Male,Doctorate,Married,$120K +,Blue,41,3,0,21592,Fifties
715735233,Existing Customer,51,Female,Post-Graduate,Married,Less than $40K,Blue,44,1,1,3449,Fifties
720476733,Existing Customer,47,Female,High School,Married,Less than $40K,Blue,34,1,2,6028,Fourties
715872333,Existing Customer,41,Male,High School,Unknown,$120K +,Blue,36,2,3,18214,Fourties
712375758,Existing Customer,53,Male,Uneducated,Married,$80K - $120K,Blue,43,3,1,16393,Fifties
708868233,Attrited Customer,68,Male,High School,Married,Less than $40K,Blue,52,3,2,1438.3,Sixties
718030083,Existing Customer,59,Male,College,Married,$60K - $80K,Blue,36,1,2,7871,Fifties
720707283,Existing Customer,48,Male,Unknown,Married,$80K - $120K,Blue,36,3,0,5288,Fourties
771698658,Existing Customer,44,Male,Graduate,Married,$60K - $80K,Blue,32,5,3,11376,Fourties
748326258,Existing Customer,48,Male,College,Married,$80K - $120K,Blue,41,5,3,12302,Fourties
770817783,Existing Customer,47,Male,Graduate,Married,$60K - $80K,Silver,33,2,1,34516,Fourties
779353083,Existing Customer,47,Male,Graduate,Married,$60K - $80K,Silver,32,2,2,34516,Fourties
711441333,Existing Customer,43,Female,High School,Divorced,Less than $40K,Silver,35,2,2,10514,Fourties
719808558,Attrited Customer,55,Female,Graduate,Married,Less than $40K,Blue,43,4,3,1438.3,Fifties
711551958,Attrited Customer,59,Male,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,1438.3,Fifties
809164083,Existing Customer,63,Male,Graduate,Married,$40K - $60K,Blue,56,1,2,2619,Sixties
820596183,Existing Customer,58,Male,College,Married,$120K +,Blue,53,3,0,24407,Fifties
715999608,Existing Customer,53,Female,High School,Married,Less than $40K,Blue,36,1,2,2377,Fifties
710565408,Existing Customer,59,Male,Unknown,Unknown,$80K - $120K,Silver,40,2,3,34516,Fifties
805543158,Existing Customer,52,Male,Graduate,Married,$120K +,Blue,47,3,3,11086,Fifties
709752183,Existing Customer,48,Male,High School,Single,$60K - $80K,Blue,36,2,2,11432,Fourties
716479233,Existing Customer,43,Male,High School,Married,$40K - $60K,Blue,36,3,2,13258,Fourties
713837058,Existing Customer,48,Male,College,Single,Less than $40K,Blue,36,2,3,2571,Fourties
718876683,Existing Customer,43,Female,Graduate,Single,Less than $40K,Blue,31,2,0,5781,Fourties
770746908,Existing Customer,44,Male,Unknown,Married,$60K - $80K,Blue,30,1,2,7872,Fourties
794843883,Existing Customer,41,Male,High School,Married,$80K - $120K,Blue,35,1,2,34516,Fourties
803043933,Existing Customer,44,Female,Uneducated,Divorced,Less than $40K,Silver,38,1,3,11127,Fourties
758076408,Existing Customer,50,Male,Unknown,Single,$40K - $60K,Blue,43,1,3,1857,Fifties
714606558,Existing Customer,60,Female,Uneducated,Married,Less than $40K,Blue,36,1,0,1913,Sixties
778425408,Existing Customer,44,Male,Graduate,Single,$80K - $120K,Blue,24,3,0,3839,Fourties
714171108,Existing Customer,48,Female,Graduate,Divorced,$40K - $60K,Blue,39,2,3,2115,Fourties
719662458,Existing Customer,44,Female,Graduate,Divorced,Less than $40K,Blue,27,2,2,1438.3,Fourties
713137233,Existing Customer,41,Male,High School,Single,$80K - $120K,Blue,28,3,0,27756,Fourties
769425858,Existing Customer,45,Male,College,Single,$60K - $80K,Blue,32,1,2,1438.3,Fourties
711297483,Existing Customer,47,Female,Uneducated,Divorced,Less than $40K,Silver,34,4,2,13878,Fourties
788900883,Existing Customer,51,Female,Graduate,Married,Less than $40K,Blue,36,1,3,3106,Fifties
758348808,Existing Customer,51,Male,Graduate,Married,$120K +,Blue,44,3,3,34516,Fifties
772336458,Attrited Customer,60,Female,Uneducated,Married,$40K - $60K,Blue,50,4,3,1438.3,Sixties
708711483,Existing Customer,57,Male,Unknown,Married,$80K - $120K,Blue,46,3,0,18871,Fifties
717906783,Existing Customer,41,Male,Graduate,Single,$120K +,Blue,29,2,2,5207,Fourties
719437908,Existing Customer,44,Male,Post-Graduate,Divorced,$80K - $120K,Blue,36,2,2,17965,Fourties
769433508,Existing Customer,43,Male,College,Single,$60K - $80K,Blue,37,3,3,2733,Fourties
790096533,Existing Customer,55,Male,College,Married,$60K - $80K,Blue,48,3,2,8863,Fifties
720997383,Attrited Customer,52,Male,Uneducated,Married,$80K - $120K,Blue,36,3,3,1857,Fifties
787541883,Existing Customer,44,Male,Graduate,Unknown,$80K - $120K,Blue,33,3,3,34516,Fourties
709930758,Existing Customer,41,Male,Uneducated,Married,$40K - $60K,Blue,30,3,3,11107,Fourties
789830058,Existing Customer,44,Male,Unknown,Single,$80K - $120K,Blue,34,1,2,21573,Fourties
710299608,Attrited Customer,53,Female,Unknown,Married,Less than $40K,Blue,33,3,3,2859,Fifties
710741208,Existing Customer,39,Male,High School,Single,$80K - $120K,Blue,36,2,2,5269,Thirties
821797008,Attrited Customer,49,Male,College,Married,$40K - $60K,Blue,45,2,3,1438.3,Fourties
708874533,Attrited Customer,45,Female,College,Married,Less than $40K,Blue,36,3,2,3387,Fourties
715341858,Existing Customer,54,Male,Graduate,Married,$80K - $120K,Blue,46,2,3,1982,Fifties
793636308,Existing Customer,49,Male,Uneducated,Single,$80K - $120K,Blue,43,2,2,4645,Fourties
713779908,Existing Customer,46,Female,Doctorate,Single,Unknown,Blue,36,3,2,2189,Fourties
712125258,Attrited Customer,46,Male,High School,Married,$120K +,Blue,30,3,3,2442,Fourties
709703433,Existing Customer,47,Male,Graduate,Married,$60K - $80K,Blue,38,1,2,21304,Fourties
721022433,Existing Customer,44,Male,Doctorate,Single,$60K - $80K,Blue,36,1,2,7577,Fourties
710103558,Existing Customer,50,Male,Post-Graduate,Single,$120K +,Blue,31,1,2,3234,Fifties
715952883,Existing Customer,73,Male,High School,Married,$40K - $60K,Blue,36,3,2,4469,Sixties
719731458,Existing Customer,56,Male,Unknown,Unknown,$40K - $60K,Blue,46,3,4,2910,Fifties
772390908,Attrited Customer,59,Male,High School,Single,$40K - $60K,Blue,48,4,3,3616,Fifties
787348608,Existing Customer,70,Male,High School,Married,Less than $40K,Blue,56,2,3,3252,Sixties
709485033,Existing Customer,55,Female,High School,Married,Less than $40K,Blue,36,3,3,2358,Fifties
715432608,Existing Customer,43,Male,Unknown,Single,$60K - $80K,Blue,36,1,0,22322,Fourties
799471833,Existing Customer,45,Male,Uneducated,Single,$120K +,Blue,39,2,2,3133,Fourties
714187533,Existing Customer,45,Female,Uneducated,Single,$40K - $60K,Blue,35,3,0,3540,Fourties
779656908,Existing Customer,40,Male,Graduate,Married,$40K - $60K,Blue,23,3,2,6990,Fourties
788950158,Existing Customer,36,Male,College,Unknown,$80K - $120K,Blue,22,2,3,34516,Thirties
778867533,Attrited Customer,59,Female,Post-Graduate,Married,$40K - $60K,Blue,40,4,1,1438.3,Fifties
710620383,Existing Customer,43,Male,Unknown,Married,$60K - $80K,Blue,35,3,2,24396,Fourties
778661358,Existing Customer,46,Female,Unknown,Married,Less than $40K,Blue,36,3,2,2474,Fourties
789483333,Existing Customer,41,Male,Uneducated,Married,$40K - $60K,Blue,32,1,3,5214,Fourties
809855808,Existing Customer,51,Female,Graduate,Married,Less than $40K,Blue,46,2,2,5207,Fifties
718464258,Existing Customer,51,Female,Unknown,Unknown,Less than $40K,Blue,25,2,2,9512,Fifties
708528483,Existing Customer,43,Female,Graduate,Divorced,Unknown,Blue,23,3,2,3187,Fourties
771809733,Attrited Customer,64,Female,High School,Married,$40K - $60K,Blue,53,3,3,3353,Sixties
719942883,Existing Customer,54,Male,Graduate,Married,$60K - $80K,Blue,38,3,3,2290,Fifties
807226683,Existing Customer,48,Male,Unknown,Single,$40K - $60K,Blue,43,1,3,5279,Fourties
717806133,Existing Customer,40,Male,Uneducated,Divorced,$60K - $80K,Blue,29,3,0,23603,Fourties
720615708,Existing Customer,57,Male,Uneducated,Married,$40K - $60K,Blue,45,2,2,2601,Fifties
714511758,Existing Customer,45,Male,Graduate,Single,$80K - $120K,Blue,40,3,0,6363,Fourties
715050408,Existing Customer,41,Male,High School,Single,$80K - $120K,Blue,36,3,3,8029,Fourties
721132233,Existing Customer,42,Female,Uneducated,Married,Less than $40K,Blue,31,2,2,2410,Fourties
719211558,Attrited Customer,45,Male,Graduate,Single,$60K - $80K,Blue,36,1,2,3401,Fourties
712069008,Existing Customer,42,Female,Uneducated,Married,Less than $40K,Blue,23,2,0,2260,Fourties
715996983,Existing Customer,47,Male,Uneducated,Divorced,$80K - $120K,Blue,30,2,2,17682,Fourties
